Epoch number,number of human population,number of humans killed by zombie,number of humans starved to death,number of zombie population,number of zombies killed by humans
534,995,9005,0,241,8799,
535,995,9005,0,241,8799,
536,995,9005,0,241,8799,
537,995,9005,0,241,8799,
538,993,9007,0,241,8801,
539,993,9007,0,241,8801,
540,990,9010,0,242,8803,
541,986,9014,0,243,8806,
542,986,9014,0,243,8806,
543,984,9016,0,243,8808,
544,972,9028,0,244,8819,
545,967,9033,0,245,8823,
546,966,9034,0,246,8823,
547,966,9034,0,246,8823,
548,964,9036,0,247,8824,
549,957,9043,0,248,8830,
550,940,9060,0,249,8846,
551,932,9068,0,249,8854,
552,932,9068,0,249,8854,
553,932,9068,0,249,8854,
554,932,9068,0,249,8854,
555,929,9071,0,249,8857,
556,928,9072,0,250,8857,
557,921,9079,0,251,8863,
558,916,9084,0,252,8867,
559,913,9087,0,255,8867,
560,913,9087,0,255,8867,
561,907,9093,0,256,8872,
562,899,9101,0,257,8879,
563,895,9105,0,257,8883,
564,890,9110,0,257,8888,
565,888,9112,0,257,8890,
566,881,9119,0,259,8895,
567,879,9121,0,260,8896,
568,874,9126,0,261,8900,
569,872,9128,0,262,8901,
570,872,9128,0,262,8901,
571,872,9128,0,262,8901,
572,870,9130,0,262,8903,
573,870,9130,0,262,8903,
574,864,9136,0,263,8908,
575,859,9141,0,264,8912,
576,855,9145,0,265,8915,
577,853,9147,0,266,8916,
578,851,9149,0,267,8917,
579,850,9150,0,268,8917,
580,848,9152,0,269,8918,
581,844,9156,0,272,8919,
582,833,9167,0,277,8925,
583,830,9170,0,278,8927,
584,818,9182,0,281,8936,
585,818,9182,0,281,8936,
586,815,9185,0,281,8939,
587,815,9185,0,281,8939,
588,815,9185,0,281,8939,
589,814,9186,0,281,8940,
590,814,9186,0,281,8940,
591,812,9188,0,282,8941,
592,811,9189,0,282,8942,
593,809,9191,0,282,8944,
594,809,9191,0,282,8944,
595,809,9191,0,282,8944,
596,808,9192,0,283,8944,
597,806,9194,0,284,8945,
598,804,9196,0,284,8947,
599,802,9198,0,286,8947,
600,798,9202,0,286,8951,
601,797,9203,0,286,8952,
602,797,9203,0,286,8952,
603,797,9203,0,286,8952,
604,795,9205,0,287,8953,
605,793,9207,0,288,8954,
606,788,9212,0,289,8958,
607,785,9215,0,291,8959,
608,785,9215,0,291,8959,
609,774,9226,0,291,8970,
610,773,9227,0,292,8970,
611,770,9230,0,293,8972,
612,768,9232,0,294,8973,
613,768,9232,0,294,8973,
614,767,9233,0,294,8974,
615,766,9234,0,295,8974,
616,760,9240,0,296,8979,
617,759,9241,0,297,8979,
618,755,9245,0,298,8982,
619,754,9246,0,299,8982,
620,747,9253,0,299,8989,
621,743,9257,0,299,8993,
622,743,9257,0,299,8993,
623,741,9259,0,300,8994,
624,740,9260,0,301,8994,
625,738,9262,0,303,8994,
626,736,9264,0,303,8996,
627,735,9265,0,303,8997,
628,733,9267,0,304,8998,
629,732,9268,0,304,8999,
630,732,9268,0,304,8999,
631,732,9268,0,304,8999,
632,731,9269,0,304,9000,
633,731,9269,0,304,9000,
634,730,9270,0,304,9001,
635,730,9270,0,304,9001,
636,724,9276,0,305,9006,
637,721,9279,0,306,9008,
638,720,9280,0,307,9008,
639,720,9280,0,307,9008,
640,720,9280,0,307,9008,
641,719,9281,0,308,9008,
642,717,9283,0,310,9008,
643,716,9284,0,311,9008,
644,716,9284,0,311,9008,
645,716,9284,0,311,9008,
646,715,9285,0,311,9009,
647,715,9285,0,311,9009,
648,710,9290,0,312,9013,
649,708,9292,0,314,9013,
650,707,9293,0,315,9013,
651,705,9295,0,317,9013,
